Year,State,BallotsCountedVEP,HighestOfficeVEP,BallotsCounted,VotesHighestOffice,VEP,VAP,PctNonCitizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,StateAbbreviation
2018,United States,0.503,0.497,118581921,117069210,235714420,255152703,0.083,1416810,2126035,494442,3123092,4793402,US
2018,Alabama,0.473,0.472,1721906,1719589,3641209,3802714,0.025,28680,52177,8562,66983,,AL
2018,Alaska,0.546,0.543,285009,283134,521777,554426,0.041,4317,6621,1812,9903,,AK
2018,Arizona,0.491,0.486,2409910,2384308,4910625,5519036,0.094,37582,77373,7500,89185,,AZ
2018,Arkansas,0.414,0.41,898793,891509,2171940,2319740,0.038,17242,30881,23792,58636,,AR
2018,California,0.496,0.486,12712542,12464235,25635139,30836229,0.164,130390,0,0,130390,,CA
2018,Colorado,0.63,0.615,2583580,2525062,4103903,4445013,0.070,18576,0,10186,28762,,CO
2018,Connecticut,0.544,0.538,1421953,1406803,2614176,2856023,0.078,14475,0,3379,17854,,CT
2018,Delaware,0.514,0.51,365467,362592,710434,769716,0.057,6254,15395,387,15416,,DE
2018,District of Columbia,0.437,0.425,231482,224658,529198,577553,0.084,0,0,0,0,,DC
2018,Florida,0.549,0.543,8318824,8220561,15140654,17168712,0.105,92847,214066,4566,219431,,FL
2018,Georgia,0.55,0.549,3949905,3939328,7178075,8063141,0.072,51092,410964,22386,307727,,GA
2018,Hawaii,0.393,0.385,398657,390843,1014363,1122119,0.091,5474,0,0,5474,,HI
2018,Idaho,0.5,0.494,612536,605131,1224275,1314172,0.044,7949,32409,5054,31476,,ID
2018,Illinois,0.514,0.507,4635541,4570842,9017850,9902219,0.085,42017,0,0,42017,,IL
2018,Indiana,0.469,0.464,2308258,2282565,4923068,5139352,0.037,24948,0,0,24948,,IN
2018,Iowa,0.577,0.574,1334279,1327638,2312204,2431468,0.036,8888,29254,6051,31614,,IA
2018,Kansas,0.512,0.509,1060000,1055566,2072292,2211696,0.052,9613,16654,4830,23936,,KS
2018,Kentucky,0.486,0.473,1612353,1569798,3319907,3469061,0.024,22868,48457,15383,65871,,KY
2018,Louisiana,0.448,0.43,1519405,1460585,3394257,3581751,0.027,35543,40174,30907,89349,,LA
2018,Maine,0.602,0.591,646013,634409,1073006,1092942,0.018,0,0,0,0,,ME
2018,Maryland,0.542,0.535,2335128,2304512,4306482,4742399,0.088,19382,0,0,19382,,MD
2018,Massachusetts,0.546,0.537,2752665,2707090,5042403,5546080,0.089,8780,0,0,8780,,MA
2018,Michigan,0.578,0.566,4341340,4250585,7513813,7841291,0.037,40502,0,0,40502,,MI
2018,Minnesota,0.642,0.639,2611365,2596879,4064389,4335998,0.046,10158,96852,7075,72439,,MN
2018,Mississippi,0.437,0.425,961025,936215,2201276,2278270,0.014,19150,29067,8645,44363,,MS
2018,Missouri,0.534,0.534,2442306,2442289,4570675,4764892,0.025,31956,43799,17792,74713,,MO
2018,Montana,0.62,0.614,509213,504384,821710,835371,0.012,3795,0,0,3795,,MT
2018,Nebraska,0.518,0.512,706652,698417,1364285,1458088,0.055,5079,13489,1088,13856,,NE
2018,Nevada,0.475,0.474,975980,972132,2052636,2380512,0.126,13742,13724,5261,26826,,NV
2018,New Hampshire,0.546,0.54,580568,573608,1062391,1096918,0.029,2818,0,0,2818,,NH
2018,New Jersey,0.531,0.518,3248642,3169310,6114344,7074259,0.120,18504,140589,15128,113768,,NJ
2018,New Mexico,0.473,0.47,701654,696459,1482246,1610112,0.069,6914,12714,2780,16941,,NM
2018,New York,0.452,0.443,6230959,6104477,13772077,15748183,0.120,46416,0,44426,90842,,NY
2018,North Carolina,0.496,0.487,3755778,3693104,7577011,8117590,0.055,34357,82466,12726,94089,,NC
2018,North Dakota,0.586,0.578,330598,326138,564114,578460,0.022,1791,0,0,1791,,ND
2018,Ohio,0.509,0.501,4496834,4429582,8839520,9113230,0.024,51666,0,0,51666,,OH
2018,Oklahoma,0.425,0.424,1190000,1186385,2798385,2987070,0.047,26691,33562,1895,47716,,OK
2018,Oregon,0.615,0.6,1914923,1866997,3113178,3339282,0.063,15166,0,0,15166,,OR
2018,Pennsylvania,0.517,0.514,5043029,5012555,9758386,10178261,0.037,48098,0,0,48098,,PA
2018,Rhode Island,0.481,0.475,381267,376738,793460,856988,0.071,3038,0,0,3038,,RI
2018,South Carolina,0.452,0.447,1726527,1707569,3819264,3996952,0.034,20350,32634,4347,43298,,SC
2018,South Dakota,0.533,0.53,341048,339214,640417,663321,0.025,3744,0,2687,6431,,SD
2018,Tennessee,0.451,0.446,2267428,2243740,5031061,5290993,0.035,27906,62609,12092,75685,,TN
2018,Texas,0.463,0.463,8375000,8371655,18072155,21390152,0.133,155327,374285,111287,479956,,TX
2018,Utah,0.52,0.512,1082972,1065630,2082549,2242122,0.069,5846,0,0,5846,,UT
2018,Vermont,0.559,0.551,278230,274087,497750,508992,0.022,0,0,0,0,,VT
2018,Virginia,0.548,0.546,3363505,3351373,6141102,6673763,0.069,36959,60821,1650,73277,,VA
2018,Washington,0.589,0.581,3133448,3086168,5316196,5903135,0.086,18335,89317,11322,80568,,WA
2018,West Virginia,0.425,0.417,597149,586034,1405262,1435238,0.011,7137,6523,3550,14405,,WV
2018,Wisconsin,0.617,0.616,2675000,2673308,4337051,4549459,0.032,22889,44489,20401,68649,,WI
2018,Wyoming,0.487,0.482,205275,203420,421722,438237,0.024,2323,4666,842,5825,,WY
2008,United States,0.622,0.616,132609063,131304731,213313508,230872030,0.084,1605448,2451085,627680,3144831,4972217,US
2008,Alabama,0.61,0.608,2105622,2099819,3454510,3595708,0.022,30508,53252,8042,61155,74079,AL
2008,Alaska,0.683,0.68,327341,326197,479429,507645,0.037,5014,6708,1732,9234,60686,AK
2008,Arizona,0.574,0.567,2320851,2293475,4046075,4673718,0.116,39589,82232,7534,84472,90036,AZ
2008,Arkansas,0.529,0.525,1095958,1086617,2071563,2174846,0.029,14716,31169,19908,40255,43963,AR
2008,California,0.617,0.609,13743177,13561900,22261504,27411094,0.179,173670,0,120753,234047,486207,CA
2008,Colorado,0.716,0.71,2422236,2401361,3382959,3708955,0.080,23274,0,11654,29101,71854,CO
2008,Connecticut,,0.666,,1646792,2471082,2725917,0.085,20661,0,2328,21825,45799,CT
2008,Delaware,0.658,0.656,413562,412398,628200,680493,0.053,7075,17216,551,15959,12658,DE
2008,District of Columbia,0.617,0.615,266871,265853,432566,481971,0.103,0,0,0,0,6916,DC
2008,Florida,0.666,0.661,8453743,8390744,12687407,14558436,0.112,102388,279760,4528,244532,451907,FL
2008,Georgia,0.627,0.625,3940705,3924440,6281872,7063638,0.073,52719,397081,23448,262984,141001,GA
2008,Hawaii,0.49,0.488,456064,453568,930067,1036088,0.097,5955,0,0,5955,20090,HI
2008,Idaho,0.648,0.636,667506,655032,1029416,1117842,0.049,7290,49513,3361,33727,26779,ID
2008,Illinois,0.643,0.636,5578195,5523051,8681138,9615700,0.092,45474,0,0,45474,200530,IL
2008,Indiana,0.603,0.591,2805986,2751054,4653019,4826231,0.030,28322,0,0,28322,89605,IN
2008,Iowa,0.697,0.694,1543662,1537123,2216094,2298515,0.026,8766,22958,3159,21825,43108,IA
2008,Kansas,0.635,0.62,1264208,1235872,1991759,2100084,0.042,8539,16263,4958,19150,42495,KS
2008,Kentucky,0.59,0.579,1858578,1826508,3152629,3277617,0.022,21706,51035,12277,53362,58518,KY
2008,Louisiana,0.618,0.612,1979852,1960761,3205794,3342279,0.020,38381,40025,24636,70712,68285,LA
2008,Maine,0.718,0.706,744456,731163,1036242,1049816,0.013,0,0,0,0,21362,ME
2008,Maryland,0.678,0.67,2661905,2631596,3925117,4342850,0.078,23324,96360,13220,78114,77074,MD
2008,Massachusetts,0.673,0.668,3102995,3080985,4612550,5058035,0.086,11408,0,0,11408,77830,MA
2008,Michigan,0.697,0.692,5039080,5001766,7229512,7528460,0.033,48738,0,0,48738,163673,MI
2008,Minnesota,0.781,0.778,2921147,2910369,3740142,3975974,0.040,9910,127627,5081,76264,70063,MN
2008,Mississippi,,0.61,,1289856,2113347,2190402,0.019,22754,22267,2922,35349,45082,MS
2008,Missouri,0.682,0.676,2950504,2925205,4327572,4507688,0.025,30186,57360,20683,69208,96710,MO
2008,Montana,0.671,0.663,497599,491960,741853,755384,0.013,3545,0,0,3545,22898,MT
2008,Nebraska,0.637,0.629,811923,801281,1274719,1348048,0.043,4520,19606,846,14746,27311,NE
2008,Nevada,0.572,0.57,970019,967848,1696831,2000277,0.141,12743,13337,3908,21366,45656,NV
2008,New Hampshire,0.725,0.717,719643,710970,992226,1021787,0.026,2702,0,0,2702,25558,NH
2008,New Jersey,0.677,0.67,3910220,3868237,5776527,6651284,0.117,25953,128737,15849,98246,110559,NJ
2008,New Mexico,0.612,0.609,833365,830158,1362629,1505830,0.083,6402,20883,3724,18706,31444,NM
2008,New York,0.596,0.59,7721718,7640640,12948969,14876971,0.124,60347,0,52225,86460,263787,NY
2008,North Carolina,0.661,0.655,4354571,4310789,6584302,7096503,0.059,39482,109678,3409,96026,133483,NC
2008,North Dakota,0.636,0.627,321133,316621,504762,512768,0.013,1452,0,0,1452,11179,ND
2008,Ohio,0.678,0.669,5773777,5698260,8513079,8757453,0.022,51686,0,0,51686,174703,OH
